Тема,Ключ проблемы,Идентификатор проблемы,Тип задачи,Статус,Ключ проекта,Название проекта,Приоритет,Исполнитель,Автор,Создатель,Создано,Обновленo,Дата решения,Описание,Затраченное время,Суммарное затраченое время,Пользовательское поле (В статусе),Пользовательское поле (Время реализации),Пользовательское поле (Категория статуса),Пользовательское поле (Последний спринт),Комментарий
Рефакторинг модуля обработки ошибок,PLATFORM-1000,ID-5000,Improvement,Code Review,PLATFORM,Platform Core,Low,dev_csharp,team_lead,pm_user,2024-08-11 22:22:10,2024-08-13 22:22:10,,Generated description for task 0,25200,39600,Code Review,86400,In Progress,Sprint 1,Autogenerated comment 0
Обновление зависимостей проекта,AUTOMATION-1001,ID-5001,Task,Blocked,AUTOMATION,QA Automation,Critical,dev_csharp,team_lead,pm_user,2024-01-18 11:28:57,2024-01-27 11:28:57,,Generated description for task 1,54000,64800,Blocked,28800,New,Sprint 1,Autogenerated comment 1
Некорректная обработка исключений в логике обработки сообщений,PLATFORM-1002,ID-5002,Bug,Blocked,PLATFORM,Platform Core,Medium,dev_csharp,team_lead,pm_user,2024-01-17 00:14:55,2024-01-20 00:14:55,2024-01-21 00:14:55,Generated description for task 2,36000,43200,Blocked,86400,New,Sprint 2,Autogenerated comment 2
Подготовка тестовой инфраструктуры для новых модулей,AUTOMATION-1003,ID-5003,Task,Done,AUTOMATION,QA Automation,High,dev_csharp,team_lead,pm_user,2024-08-20 05:26:50,2024-08-22 05:26:50,,Generated description for task 3,3600,7200,Done,115200,New,Sprint 1,Autogenerated comment 3
Реализация механизма автообновления конфигураций,INFRA-1004,ID-5004,Story,To Do,INFRA,Infrastructure Services,Low,dev_csharp,team_lead,pm_user,2024-06-28 21:20:42,2024-07-06 21:20:42,2024-07-06 21:20:42,Generated description for task 4,43200,50400,To Do,28800,New,Sprint 3,Autogenerated comment 4
Добавление поддержки новых типов аутентификации,PLATFORM-1005,ID-5005,Story,In Progress,PLATFORM,Platform Core,Low,dev_csharp,team_lead,pm_user,2025-01-09 00:59:21,2025-01-18 00:59:21,,Generated description for task 5,7200,10800,In Progress,28800,Completed,Sprint 2,Autogenerated comment 5
Документирование внутренних API,PLATFORM-1006,ID-5006,Task,In Progress,PLATFORM,Platform Core,Low,dev_csharp,team_lead,pm_user,2024-05-04 14:33:47,2024-05-10 14:33:47,,Generated description for task 6,10800,21600,In Progress,28800,New,Sprint 2,Autogenerated comment 6
Обновление зависимостей проекта,PLATFORM-1007,ID-5007,Task,Done,PLATFORM,Platform Core,Low,dev_csharp,team_lead,pm_user,2024-05-14 14:52:21,2024-05-18 14:52:21,2024-05-23 14:52:21,Generated description for task 7,18000,28800,Done,115200,Completed,Sprint 3,Autogenerated comment 7
Реализация механизма автообновления конфигураций,PLATFORM-1008,ID-5008,Story,In Progress,PLATFORM,Platform Core,Critical,dev_csharp,team_lead,pm_user,2024-08-02 06:55:15,2024-08-05 06:55:15,2024-08-07 06:55:15,Generated description for task 8,3600,3600,In Progress,28800,Completed,Sprint 1,Autogenerated comment 8
Оптимизация процесса сборки проекта,AUTOMATION-1009,ID-5009,Improvement,In Progress,AUTOMATION,QA Automation,Low,dev_csharp,team_lead,pm_user,2024-06-07 05:00:28,2024-06-08 05:00:28,2024-06-09 05:00:28,Generated description for task 9,39600,54000,In Progress,144000,In Progress,Sprint 1,Autogenerated comment 9
